,x,y,z,t,HCP1.0,PRP1.1,HCP2.0,PRP2.1,HCP4.0,PRP4.1,HCP1.0_inph,PRP1.1_inph,HCP2.0_inph,PRP2.1_inph,HCP4.0_inph,PRP4.1_inph,code,x_clhs,y_clhs,z,t,depth,humus,pH_eau,CEC,clay,silt,sand,caCO,TOC,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_dc_hp,bulk_ec_tc_hp,bulk_ec_dc_tc_hp,water_ec_hp,water_ec_hp_t,iperm_water_t,EC_0.30,EC_0.60,EC_1.00,EC_1.60,EC_end,bulk_ec_inv,bulk_ec_dc_tc_inv
5793,41564.55393,204206.5969,0.55,46700.42,150.1589942,72.92417883,226.9532523,115.0257052,373.3654681,196.7572686,2.067101176,0.180755578,7.770489026,0.538402351,36.63529416,3.798646292,1,41565.381,204207.342,0,0,10,2.516,7.84,20.725,22.106,65.499,12.396,0.0,12.58,1.281,0.26224,13,32.7,10.7,10.3,0.016246876858885706,0.00368,0.013997448479539093,40.49149884286161,0.1939925595090831,0.166944266297576,60.01680959082022,6.570619454,74.00869346,164.7898958,251.1074427,313.3791687,6.570619454,5.091742938202449
11585,41548.70964,204311.5916,0.849275,48080.26,134.0867626,115.1310302,161.8806643,111.2257431,252.6922385,134.4836232,1.837964212,0.124699581,5.854514283,0.054209604,27.6365686,3.494158435,2,41549.211,204310.992,0,0,10,1.162,8.32,20.482,25.616,59.907,14.477,2.1,8.27,1.403,0.41344,20,31.1,28.1,35.1,0.04650911557076831,0.0226,0.04125521851712108,263.9593051668345,0.15438710562910643,0.13694804579843334,49.233106178494985,89.86299028,107.0712981,133.4581747,163.2179575,187.8368777,89.86299028,75.87698343961948
7013,41589.74878,204167.8323,0.55,46944.42,188.6381044,96.94112774,279.0106734,159.0685624,412.4524601,254.3305224,2.168736664,0.157302919,8.153296967,0.831595381,39.38649994,7.244980974,3,41588.221,204167.503,0,0,10,2.714,8.32,23.113,24.67,66.901,8.43,4.0,18.31,1.386,0.30754,22,28.3,8.7,6.4,0.011783451552174664,0.00186,0.011023040292947971,24.115068624696114,0.200569388122122,0.18779696156259987,67.51339673892588,23.21018222,104.7500115,213.3088085,313.4337125,383.3197021,23.21018222,20.21546061235715
25276,41668.9388,204238.3062,0.45,53527.92,182.368752,90.93495777,274.7372961,157.6227971,400.9166032,254.5479526,2.145959594,0.230278537,8.112905987,0.838216143,38.60310612,6.876355262,4,41668.451,204238.44,0,0,10,1.622,8.17,24.345,27.206,66.315,6.478,1.7,10.14,1.279,0.32295,24,31.6,16.7,18.5,0.02663667595400924,0.00991,0.023411137429174618,113.6068525813899,0.16779008474966453,0.14742830774763838,53.00078206109276,18.1175988,99.36588392,208.7935997,309.5262324,379.3105651,18.1175988,14.748044641149054
8604,41521.70418,204334.5502,0.85,47262.62,205.2447262,169.0786518,256.759837,187.4032453,345.9660886,242.1102779,1.986834627,0.198394473,6.649910466,0.587118178,32.30806083,7.688163455,5,41520.385,204334.195,0,0,10,1.686,8.18,20.992,26.516,58.833,14.65,2.4,11.35,1.413,0.41837,7,26.2,17.6,20.7,0.028610810964985647,0.01114,0.027902971650821014,156.19643678284004,0.1682988880293273,0.1642719917455984,59.05612135325862,130.8882851,164.9466781,216.2089986,268.3412409,307.381633,130.8882851,122.1610332282867
19374,41617.19729,204259.1306,0.6149792,51612.3,169.1294417,85.76212638,249.398651,142.6795158,343.4848811,218.0747757,2.081723252,0.205264904,7.487065438,0.525779305,33.5700398,3.689382222,6,41615.875,204258.051,0,0,10,2.89,8.29,22.163,23.213,64.251,12.535,1.5,16.25,1.436,0.35694,5,28.3,11.3,6.4,0.013320385904920006,0.00239,0.012460792994091058,30.986566673668662,0.14597683183473978,0.13668090496644975,49.137068495963774,19.76562456,92.70062541,189.7062819,278.9876701,341.1650996,19.76562456,17.15648068628552
13276,41576.96635,204271.1857,1.15,48437.26,118.3107048,49.39499614,189.2290274,82.50133849,341.1916416,161.5156399,2.040263287,0.177746401,7.358026708,0.404398325,33.13088356,2.66203931,7,41578.212,204271.787,0,0,10,1.758,8.19,21.157,25.013,59.196,15.791,1.1,10.11,1.306,0.27939,4,31.1,13.3,13.1,0.020367205053177455,0.00603,0.018066426005743284,70.42808009539877,0.1752017638983007,0.15541154870764876,55.87077372502052,-12.51406188,46.71866366,128.1312354,207.3606626,265.6288449,-12.51406188,0.0
12715,41533.47094,204357.0106,0.65,48325.06,158.1271652,133.0046594,195.8520413,135.6763414,296.3329814,171.7075171,1.883736581,0.076436004,6.122762923,0.100182514,28.96878615,3.245043982,8,41533.32,204357.264,0,0,10,2.594,8.21,22.041,25.989,58.685,15.325,2.0,15.4,1.435,0.44652,15,25.4,17.1,18.5,0.02706194969602102,0.01018,0.026825355224202017,147.05847737055964,0.16526381493753292,0.1639286338672111,58.93268348464714,101.8894752,125.1799538,161.1831373,200.2750482,231.392401,101.8894752,96.32047196950367
25563,41643.02475,204298.6941,0.65,53586.61,130.630851,71.27811831,191.7888247,102.4836769,316.4326056,181.6520242,1.982046998,0.127854874,6.720578134,0.219375305,31.36190367,2.598813793,9,41642.385,204297.786,0,0,10,3.398,8.34,22.787,21.302,65.61,13.088,2.2,16.99,1.366,0.36434,16,28.6,20.2,20.3,0.031160107299936474,0.01273,0.028979942351390557,163.20946610397243,0.15387707308610604,0.1432357440351627,51.49354672076356,19.1518175,70.23943048,140.362948,208.0206691,257.305327,19.1518175,16.51739421840006
28254,41701.02319,204261.7082,0.05,54124.14,219.4805003,116.3630305,315.7622493,196.503281,410.5382525,293.9809187,2.196182767,0.209979717,8.44363389,0.98633453,40.20182086,8.009360204,10,41702.154,204262.206,0,0,10,1.758,8.17,23.295,31.426,60.784,7.79,1.383,10.45,1.366,0.32171,8,27.2,12.1,13.7,0.019436373358178726,0.00547,0.018579664252737344,73.88866685889906,0.19196418131534546,0.18367525986293617,66.03163643900675,40.20295774,132.1417481,251.7574577,358.3527105,430.2226286,40.20295774,36.124306688906735
5793,41564.55393,204206.5969,0.55,46700.42,150.1589942,72.92417883,226.9532523,115.0257052,373.3654681,196.7572686,2.067101176,0.180755578,7.770489026,0.538402351,36.63529416,3.798646292,1,41565.381,204207.342,0,0,50,2.806,8.5,22.136,28.516,64.364,7.121,3.2,17.92,1.469,0.32284,18,25.0,25.104,36.484,0.04327499036628776,0.02046,0.04325062032429554,300.00334608689684,0.1640446943377095,0.1640446943377095,58.974407464232684,6.570619454,74.00869346,164.7898958,251.1074427,313.3791687,74.00869346,70.24
11585,41548.70964,204311.5916,0.849275,48080.26,134.0867626,115.1310302,161.8806643,111.2257431,252.6922385,134.4836232,1.837964212,0.124699581,5.854514283,0.054209604,27.6365686,3.494158435,2,41549.211,204310.992,0,0,50,4.294,8.79,18.516,41.816,50.414,7.769,16.1,21.47,1.369,0.40142,23,25.0,36.536,49.772,0.06194457926853959,0.03338,0.061909695563536135,489.4482743099031,0.15231025145940394,0.15231025145940394,54.755850939348626,89.86299028,107.0712981,133.4581747,163.2179575,187.8368777,107.0712981,102.18
7013,41589.74878,204167.8323,0.55,46944.42,188.6381044,96.94112774,279.0106734,159.0685624,412.4524601,254.3305224,2.168736664,0.157302919,8.153296967,0.831595381,39.38649994,7.244980974,3,41588.221,204167.503,0,0,50,4.55,8.62,23.378,30.686,64.001,5.313,9.6,22.75,1.432,0.30815,6,25.0,22.713,31.887,0.03881262065853241,0.01756,0.03879076357232001,257.4808776777082,0.16592794595642563,0.16592794595642563,59.651440322675526,23.21018222,104.7500115,213.3088085,313.4337125,383.3197021,104.7500115,99.93
25276,41668.9388,204238.3062,0.45,53527.92,182.368752,90.93495777,274.7372961,157.6227971,400.9166032,254.5479526,2.145959594,0.230278537,8.112905987,0.838216143,38.60310612,6.876355262,4,41668.451,204238.44,0,0,50,3.452,8.73,20.368,25.121,62.385,12.494,3.4,17.26,1.352,0.27097,422,25.0,31.41,47.845,0.05476535726846976,0.02825,0.05473451649773694,414.2274939860624,0.15984051738334845,0.15984051738334845,57.46299713938666,18.1175988,99.36588392,208.7935997,309.5262324,379.3105651,99.36588392,94.72
8604,41521.70418,204334.5502,0.85,47262.62,205.2447262,169.0786518,256.759837,187.4032453,345.9660886,242.1102779,1.986834627,0.198394473,6.649910466,0.587118178,32.30806083,7.688163455,5,41520.385,204334.195,0,0,50,2.584,8.74,22.371,26.333,68.302,5.365,3.9,17.62,1.528,0.33342,2,25.0,27.804,38.97,0.04749210257266308,0.02326,0.04746535769012934,341.0595224819756,0.15961049427882062,0.15961049427882062,57.38030335677224,130.8882851,164.9466781,216.2089986,268.3412409,307.381633,164.9466781,158.34
19374,41617.19729,204259.1306,0.6149792,51612.3,169.1294417,85.76212638,249.398651,142.6795158,343.4848811,218.0747757,2.081723252,0.205264904,7.487065438,0.525779305,33.5700398,3.689382222,6,41615.875,204258.051,0,0,50,1.146,8.73,18.542,25.639,63.887,10.474,9.5,17.13,1.611,0.34154,9,25.0,18.975,24.261,0.03161656879729187,0.01301,0.03159876412298187,190.7645910357052,0.1689032055948814,0.1689032055948814,60.721052326517345,19.76562456,92.70062541,189.7062819,278.9876701,341.1650996,92.70062541,88.28
13276,41576.96635,204271.1857,1.15,48437.26,118.3107048,49.39499614,189.2290274,82.50133849,341.1916416,161.5156399,2.040263287,0.177746401,7.358026708,0.404398325,33.13088356,2.66203931,7,41578.212,204271.787,0,0,50,3.694,8.39,21.116,27.217,57.237,15.546,1.1,19.84,1.401,0.3022,3,25.0,25.267,33.202,0.04242332341408742,0.0199,0.04239943298304861,291.79211080788116,0.15958366827135909,0.15958366827135909,57.37065935151463,-12.51406188,46.71866366,128.1312354,207.3606626,265.6288449,46.71866366,44.019999999999996
12715,41533.47094,204357.0106,0.65,48325.06,158.1271652,133.0046594,195.8520413,135.6763414,296.3329814,171.7075171,1.883736581,0.076436004,6.122762923,0.100182514,28.96878615,3.245043982,8,41533.32,204357.264,0,0,50,3.824,8.7,19.43,24.565,61.627,13.808,6.7,19.12,1.585,0.39937,12,25.0,35.786,55.569,0.0626765914105752,0.03392,0.06264129547748136,497.36625118609686,0.15774640762744654,0.15774640762744654,56.710160343792744,101.8894752,125.1799538,161.1831373,200.2750482,231.392401,125.1799538,119.73
25563,41643.02475,204298.6941,0.65,53586.61,130.630851,71.27811831,191.7888247,102.4836769,316.4326056,181.6520242,1.982046998,0.127854874,6.720578134,0.219375305,31.36190367,2.598813793,9,41642.385,204297.786,0,0,50,1.628,8.63,22.144,46.729,42.481,10.79,8.317,18.12,1.514,0.325,470,25.0,28.698,47.318,0.050944208663516406,0.0256,0.050915519748882754,375.37075561214857,0.16501484707592975,0.16501484707592975,59.32317938347903,19.1518175,70.23943048,140.362948,208.0206691,257.305327,70.23943048,66.61
28254,41701.02319,204261.7082,0.05,54124.14,219.4805003,116.3630305,315.7622493,196.503281,410.5382525,293.9809187,2.196182767,0.209979717,8.44363389,0.98633453,40.20182086,8.009360204,10,41702.154,204262.206,0,0,50,2.258,8.9,22.885,35.65,58.597,5.753,3.425,15.4,1.251,0.28289,14,25.0,36.388,60.008,0.06459783414841766,0.03533,0.06456145627941112,518.0409685850473,0.15955992132497882,0.15955992132497882,57.3621222750946,40.20295774,132.1417481,251.7574577,358.3527105,430.2226286,132.1417481,126.48
3337,41513.57857,204286.157,0.1585536,46209.19,192.2361249,166.1574473,236.4844055,176.6676802,312.7792658,212.6479328,2.009878575,0.187166177,6.906112812,0.570876669,33.43756899,6.365240168,11,41514.141,204286.566,0,0,50,0.532,8.82,20.185,47.042,47.839,5.119,14.933,20.58,1.366,0.32572,404,25.0,29.935,49.938,0.05327462173216467,0.02721,0.053244620459888384,398.97805703931886,0.16433274488425578,0.16433274488425578,59.07796223246764,134.4329573,159.6316977,200.3075832,243.5993436,276.9508064,159.6316977,153.18
22549,41619.51167,204273.2636,0.65,52247.32,113.12929,63.13857076,174.0780615,96.227034,284.1618137,161.582145,2.004829691,0.133774546,6.83263884,0.482768466,29.58866049,1.900633547,12,41619.55,204273.12,0,0,50,3.088,8.09,22.131,26.464,59.544,13.993,1.3,17.0,1.487,0.29367,416,25.0,26.077,34.227,0.04376944760711283,0.02078,0.0437447991145971,304.69548053204875,0.15860650489509562,0.15860650489509562,57.01936709336788,17.62606542,60.83671563,124.6247702,187.2917648,232.6838768,60.83671563,57.56
26684,41684.47119,204247.369,0.35,53809.54,249.2415183,133.6515869,357.0624951,219.3949182,488.8912322,322.3323483,2.238695671,0.219373339,8.903834498,1.03112713,43.01828411,9.326447484,13,41685.271,204247.395,0,0,50,2.566,8.97,21.704,45.571,47.969,6.46,5.35,19.25,1.252,0.30199,1,25.0,24.241,36.528,0.04215731182788475,0.01973,0.04213357119961819,289.2994143838942,0.16662145873379675,0.16662145873379675,59.900759602884236,47.16056502,151.8043728,286.5526549,406.6351088,488.0022842,151.8043728,145.57
8342,41590.81011,204181.1298,0.45,47210.22,182.6230717,97.42623195,270.5637125,156.8051343,397.9431838,252.6614551,2.169085598,0.127806144,8.043686387,0.793383955,39.75341403,7.344405035,14,41592.391,204181.865,0,0,50,3.262,8.31,22.432,41.016,45.749,13.236,3.942,21.04,1.379,0.35335,21,25.0,27.238,36.878,0.046104816553360566,0.02233,0.04607885291233051,327.423006750753,0.15872215011054502,0.15872215011054502,57.06094178790303,27.7508564,103.661375,206.5583354,302.2362019,369.192213,103.661375,98.88
18845,41563.16722,204364.8672,0.7354848,51506.51,203.9313536,184.8579584,228.4339583,184.5589815,294.9528372,207.5544243,1.893063125,0.11521223,6.083389757,0.258601448,28.61432157,3.251052655,15,41563.215,204365.006,0,0,50,6.578,8.79,18.981,27.009,68.788,4.203,8.1,42.61,1.425,0.42207,19,25.0,33.32,51.121,0.05819411183135966,0.03067,0.05816134017879483,449.7117607275233,0.15878338835295952,0.15878338835295952,57.08295706291772,162.3041143,180.0629566,205.3795911,232.4005401,254.0564202,180.0629566,173.04
3337,41513.57857,204286.157,0.1585536,46209.19,192.2361249,166.1574473,236.4844055,176.6676802,312.7792658,212.6479328,2.009878575,0.187166177,6.906112812,0.570876669,33.43756899,6.365240168,11,41514.141,204286.566,0,0,10,3.126,8.42,21.276,27.858,59.514,12.629,1.75,17.73,1.491,0.44477,405,31.4,24.8,29.4,0.04041327431801672,0.01859,0.035650147099743706,214.70854464590377,0.15543567045391046,0.1370930050361398,49.28521932476113,134.4329573,159.6316977,200.3075832,243.5993436,276.9508064,134.4329573,113.53135842525766
22549,41619.51167,204273.2636,0.65,52247.32,113.12929,63.13857076,174.0780615,96.227034,284.1618137,161.582145,2.004829691,0.133774546,6.83263884,0.482768466,29.58866049,1.900633547,12,41619.55,204273.12,0,0,10,2.568,7.92,23.295,29.943,59.065,10.993,1.067,14.12,1.284,0.29285,400,32.1,13.0,12.8,0.019905222558735593,0.00575,0.017336001606008476,64.69952026800911,0.17693531163320525,0.15399824528110684,55.362688215251495,17.62606542,60.83671563,124.6247702,187.2917648,232.6838768,17.62606542,14.204824154046477
26684,41684.47119,204247.369,0.35,53809.54,249.2415183,133.6515869,357.0624951,219.3949182,488.8912322,322.3323483,2.238695671,0.219373339,8.903834498,1.03112713,43.01828411,9.326447484,13,41685.271,204247.395,0,0,10,2.474,8.23,23.505,29.156,63.239,7.605,1.133,13.73,1.38,0.26512,423,30.4,11.0,11.0,0.016938199880836207,0.00404,0.015221909389537908,48.433587797858095,0.19357942720955665,0.1740268450979816,62.563011342476884,47.16056502,151.8043728,286.5526549,406.6351088,488.0022842,47.16056502,39.94603187617817
8342,41590.81011,204181.1298,0.45,47210.22,182.6230717,97.42623195,270.5637125,156.8051343,397.9431838,252.6614551,2.169085598,0.127806144,8.043686387,0.793383955,39.75341403,7.344405035,14,41592.391,204181.865,0,0,10,3.244,8.28,23.247,29.681,61.906,8.412,2.133,18.78,1.431,0.31524,415,30.7,13.8,13.3,0.020963297065049718,0.00639,0.018733815371352693,75.75434205989055,0.1711289556330589,0.15296258014280656,54.99036445245497,27.7508564,103.661375,206.5583354,302.2362019,369.192213,27.7508564,23.163364661517296
18845,41563.16722,204364.8672,0.7354848,51506.51,203.9313536,184.8579584,228.4339583,184.5589815,294.9528372,207.5544243,1.893063125,0.11521223,6.083389757,0.258601448,28.61432157,3.251052655,15,41563.215,204365.006,0,0,10,2.168,8.25,21.544,44.312,46.326,9.362,2.725,14.11,1.438,0.39557,17,25.6,24.8,29.4,0.04041327431801672,0.01859,0.0398965119002978,266.5523935992257,0.15543567045391046,0.1535580996817619,55.20445496044156,162.3041143,180.0629566,205.3795911,232.4005401,254.0564202,162.3041143,153.77817718518307
