,x,y,EC_0.10,EC_0.50,EC_0.80,EC_1.50,EC_end,z,t,HCP0.5,PRP0.6,HCP1.0,name,depth,x_clhs,y_clhs,ph-eau,CEC,clay,silt,sand,TOC,humus,bd,vwc,copeky,temp,rperm,iperm,bulk_ec_hp,bulk_ec_hp_corr,water_ec_hp,bulk_ec_pred_Fu
0,107720.118,183326.96,45.44894165008907,48.94794042575851,53.68677387227909,56.64867878881244,57.24527819014191,26.1909152,40954.67,35.8952412,19.47823797,54.6517611,1,10,107719.853,183326.516,6.6,15.16,22.84,42.132,35.028,19.3,3.9,1.617,0.27619,22,25.9,21.7,18.4,0.031327621669965396,0.01283,0.1415937702597306,0.03361015245485716
1,107755.589,183331.1,18.68363031392321,24.25765933632271,36.104727241317725,46.94692621037392,54.45588279482093,26.8951584,42473.18,20.79848839,8.568528478,38.80650636,2,10,107755.838,183331.095,6.36,6.33,10.27,50.16,39.569,12.2,2.4,1.698,0.25845,14,23.3,16.8,7.5,0.01703016528782021,0.00409,0.10643853304887631,0.015757640753925863
2,107797.402,183278.579,51.65754187069306,63.007482895834336,85.8325475104435,105.98119341316566,119.05628069109648,28.4706568,42812.37,51.94948253,22.53059206,89.57507771,3,10,107797.963,183278.886,6.6,9.75,14.066,45.87,40.063,17.2,3.4,1.529,0.27,1,25.6,19.5,12.8,0.024946765143411105,0.00886,0.1287574975143799,0.02370132016114495
3,107763.816,183318.112,13.979694741410519,18.749940134393995,30.016706763327832,40.95242067318799,49.229939445000404,27.3446688,42491.37,17.42428013,7.430909895,31.8440198,4,10,107764.388,183318.416,6.33,5.8,11.237,47.195,41.568,12.8,2.6,1.636,0.26113,13,24.2,14.0,5.6,0.013138134568614724,0.00232,0.10510507654891779,0.01726690992886981
4,107723.005,183309.182,53.97218725303461,57.34468236961645,60.77307477932659,61.96269913996216,60.68052812408231,26.586,40592.63,41.85676897,22.67571279,61.3967591,5,10,107723.617,183309.551,6.6,16.57,26.081,39.904,34.015,23.0,4.6,1.524,0.28979,9,24.2,20.3,16.8,0.02900479844691781,0.01138,0.1423548390032776,0.04261701540402717
5,107742.651,183330.207,29.209723812783352,34.014484366980476,42.740041453051276,49.90800297421696,53.95507187965515,26.664,41906.95,26.16482001,12.39028936,44.50738504,6,10,107742.174,183329.651,6.5,9.941,15.97,45.215,38.815,16.8,3.4,1.626,0.30258,16,24.6,23.8,15.5,0.03032204272878833,0.01221,0.12251330395470031,0.02788668038939667
6,107805.822,183273.987,43.90772807691612,56.97375152311386,84.66784539144072,110.06219136513113,127.73520676813362,28.65,42915.67,50.43537412,19.46345229,90.77813701,7,10,107806.339,183274.885,6.56,9.868,15.173,44.224,40.602,17.8,3.6,1.643,0.23186,2,26.2,15.0,9.4,0.01872077011101166,0.00504,0.13615105535281205,0.019236947252933737
7,107758.685,183312.601,19.88498378770488,24.715865356223475,35.36110309367761,45.2008152726374,52.04924914568975,27.35,42107.27,20.30266264,9.840765616,36.30570581,8,10,107758.704,183312.634,7.23,6.785,12.324,45.037,42.639,15.5,3.1,1.602,0.25825,405,21.9,16.7,8.8,0.018851409065389353,0.00512,0.11874903348276758,0.019175968588001035
8,107776.692,183310.756,26.07617579730792,35.19332057249002,54.80709111126681,72.91685229517735,85.63144972858646,27.5510368,42797.16,31.98025118,11.55637547,58.91916989,9,10,107775.993,183310.289,6.56,6.147,11.631,49.871,38.498,12.5,2.5,1.575,0.25897,11,23.9,16.3,7.3,0.016559194475144978,0.00384,0.1077020778871218,0.018187075548981163
9,107726.371,183318.719,57.89979078971578,62.699918328633494,68.02018039792834,70.26844331755989,68.91984133858247,26.563,40950.86,44.69528364,22.97830682,68.84778706,10,10,107726.74,183319.096,6.56,15.774,25.914,38.833,35.253,25.9,5.2,1.635,0.27443,24,23.3,20.8,18.1,0.03035432992037498,0.01223,0.1445444281922618,0.036850942865078576
25,107766.469,183327.314,15.20364588540176,20.938509958091455,34.2429038014421,47.124331721191226,56.89534820085691,27.1795488,42851.76,20.45103517,7.743880457,37.39882672,11,10,107766.796,183327.428,6.19,5.176,11.694,49.72,38.585,14.2,2.8,1.635,0.2534,19,23.3,16.3,7.3,0.016559194475144978,0.00384,0.1077020778871218,0.017096343991791742
26,107777.021,183299.37,29.25525628595169,39.30968129065245,60.5199364271304,79.82279921727616,93.03001896338175,27.85,42500.46,34.43270162,12.62280266,64.73274433,12,10,107777.193,183299.459,6.49,7.247,12.271,47.864,39.866,13.7,2.7,1.602,0.26763,404,22.6,15.7,8.4,0.017888538094142058,0.00457,0.12231479038729613,0.020378282206982203
27,107752.33,183298.809,45.98809906829473,52.03705790348002,61.90610452150465,69.29468098748382,72.56008496922496,27.45,41407.83,38.67130096,18.98603547,63.60415183,13,10,107751.848,183298.452,6.6,11.743,20.303,39.878,39.819,19.0,3.8,1.588,0.23165,416,23.0,13.4,10.4,0.018608700171410555,0.00498,0.15837191635243025,0.02566205253859656
28,107732.66,183327.436,36.63003759173364,44.024969203612194,57.64405247672381,68.94534310798194,75.42610497457241,26.5541536,41420.95,34.46278999,14.46014941,59.55776766,14,10,107732.833,183327.555,6.79,13.421,22.237,38.55,39.213,18.9,3.8,1.578,0.27103,21,24.9,24.6,19.6,0.0345686060044355,0.01487,0.13424701360945826,0.032369088984903704
29,107776.543,183291.428,40.45537665399209,49.91266672151087,68.96671102050476,85.8616748439951,96.9618947556279,27.95,42241.07,41.13591741,17.55223533,72.9424524,15,10,107776.559,183291.247,6.76,9.322,15.223,46.155,38.621,14.0,2.8,1.679,0.27536,422,23.0,20.6,12.5,0.02525825051341801,0.00906,0.12172650849840003,0.022923065306066883
